id,title,genres,director,cast,overview
1,Galaxy Horizon,"Sci-Fi,Adventure",Christopher Nolan,"Matthew McConaughey,Anne Hathaway",Explorers venture into a black hole
2,Midnight Echo,"Thriller,Mystery",David Fincher,"Rami Malek,Cate Blanchett",A detective chases a cryptic serial killer
3,Autumn Leaves,"Drama,Romance",Greta Gerwig,"Timothée Chalamet,Saoirse Ronan",Two strangers meet in a small town
4,Code Red,"Action,Sci-Fi",Denis Villeneuve,"Tom Hardy,Oscar Isaac",Special ops team races to stop a cyberattack
5,Neon Dreams,"Drama,Music",Barry Jenkins,"Childish Gambino,Zendaya",A producer chases musical stardom
6,Silent Witness,"Crime,Drama",Martin Scorsese,"Leonardo DiCaprio,Al Pacino",Mob witness enters protection program
7,Castle in the Sky,"Fantasy,Adventure",Hayao Miyazaki,"Anne Hathaway,Joseph Gordon-Levitt",Children discover a floating island
8,Red Canyon,"Western,Drama",Quentin Tarantino,"Brad Pitt,Christoph Waltz",Outlaws hunted across the desert
9,Last Light,"Sci-Fi,Horror",Alex Garland,"Domhnall Gleeson,Ava DuVernay",Humanity's final space mission fails
10,Ocean Blue,"Adventure,Drama",Werner Herzog,"Oscar Isaac,Tilda Swinton",Submarine crew discovers underwater city
11,Iron Heart,"Action,Drama",John Wick director,"Keanu Reeves,Charlize Theron",Retired soldier pulled back into action
12,Whisper Room,"Thriller,Horror",Ari Aster,"Florence Pugh,Jack Reynor",Guests trapped in haunted mansion
13,Cold Case,"Mystery,Crime",Denis Villeneuve,"Jake Gyllenhaal,Meryl Streep",Detective reopens a 20-year-old murder
14,Fire and Ice,"Fantasy,Romance",Peter Jackson,"Timothée Chalamet,Florence Pugh",Two kingdoms at war discover love
15,Echoes of Tomorrow,"Sci-Fi,Drama",Christopher Nolan,Tenet cast reunion,Time-traveling agent saves the world
16,Shadow Play,"Thriller,Drama",Ari Aster,"Saoirse Ronan,Dev Patel",Photographer uncovers dark conspiracy
17,Golden Hour,"Drama,Romance",Greta Gerwig,"Saoirse Ronan,Timothée Chalamet",Artist and musician fall in love
18,Danger Zone,"Action,Thriller",Chad Stahelski,"Charlize Theron,Tom Cruise",Spies on international heist
